shirt,pants,shoes,style,shirt_subtype,pants_subtype,shoes_subtype,fit,temperature,occasion,outerwear,score
gold,green,red,streetwear,overshirt,joggers,running_shoes,slim,hot,travel,blazer,0.25
black,silver,cream,casual,dress_shirt,pleated_trousers,sandals,relaxed,mild,university,bomber,0.5
cream,grey,black,minimal,hoodie,carpenter_pants,loafers,relaxed,mild,business,windbreaker,0.05
grey,green,olive,formal,flannel,chinos,chelsea_boots,oversized,warm,club,denim_jacket,0.5
gold,cream,red,minimal,henley,carpenter_pants,boots,relaxed,warm,university,none,0.5
grey,gold,olive,vintage,turtleneck,chinos,chelsea_boots,cropped,warm,travel,parka,0.5
gold,cream,burgundy,athleisure,overshirt,shorts,chunky_sneakers,slim,cold,gym,puffer,0.5
beige,red,green,smart_casual,overshirt,sweatpants,slides,regular,warm,business,varsity_jacket,0.0
burgundy,olive,gold,vintage,oxford,trousers,sneakers,oversized,freezing,business,puffer,0.65
green,brown,burgundy,smart_casual,graphic_tee,sweatpants,running_shoes,slim,mild,date,puffer,0.5
white,green,brown,old_money,graphic_tee,swim_shorts,sneakers,relaxed,warm,travel,trench,0.25
red,olive,yellow,gorpcore,polo,jeans,slides,skinny,warm,business,parka,0.0
charcoal,blue,silver,old_money,overshirt,pleated_trousers,sandals,cropped,warm,university,leather_jacket,0.5
burgundy,silver,olive,athleisure,oxford,chinos,slides,cropped,mild,travel,trench,0.5
red,silver,brown,formal,sweater,track_pants,chunky_sneakers,cropped,mild,gym,suit_jacket,0.25
yellow,blue,olive,streetwear,polo,joggers,running_shoes,cropped,warm,travel,leather_jacket,0.5
white,yellow,black,formal,dress_shirt,pleated_trousers,slides,skinny,warm,party,trench,0.0
grey,black,black,streetwear,long_sleeve,sweatpants,loafers,slim,warm,business,none,0.0
green,green,cream,smart_casual,graphic_tee,chinos,chunky_sneakers,oversized,freezing,club,leather_jacket,0.5
red,silver,grey,vintage,oxford,shorts,boots,skinny,hot,travel,gilet,0.5
grey,beige,green,formal,henley,track_pants,sandals,skinny,cold,university,suit_jacket,0.0
green,navy,grey,formal,sweater,carpenter_pants,chelsea_boots,relaxed,freezing,lounge,varsity_jacket,0.5
burgundy,green,gold,minimal,tee,carpenter_pants,sandals,relaxed,warm,travel,leather_jacket,0.5
blue,black,white,old_money,flannel,shorts,running_shoes,skinny,warm,lounge,overcoat,0.4
olive,beige,yellow,old_money,long_sleeve,shorts,boots,skinny,hot,party,peacoat,0.25
white,red,beige,old_money,graphic_tee,shorts,boots,oversized,hot,lounge,puffer,0.0
brown,beige,burgundy,casual,turtleneck,chinos,sandals,oversized,mild,business,peacoat,0.0
silver,silver,red,streetwear,henley,pleated_trousers,boots,regular,cold,club,leather_jacket,0.5
navy,grey,gold,old_money,henley,pleated_trousers,chunky_sneakers,regular,cold,party,denim_jacket,0.5
beige,burgundy,charcoal,streetwear,sweater,pleated_trousers,derbies,skinny,hot,date,blazer,0.25
green,blue,navy,gorpcore,sweatshirt,shorts,derbies,relaxed,hot,gym,blazer,0.0
yellow,blue,burgundy,streetwear,overshirt,sweatpants,sneakers,regular,freezing,party,blazer,0.5
brown,red,white,minimal,henley,track_pants,chunky_sneakers,slim,hot,date,gilet,0.5
burgundy,charcoal,grey,streetwear,hoodie,shorts,boots,regular,hot,club,parka,0.25
charcoal,blue,blue,formal,dress_shirt,joggers,slides,regular,mild,business,peacoat,0.0
yellow,beige,black,athleisure,henley,pleated_trousers,running_shoes,regular,mild,travel,none,0.5
grey,red,navy,casual,cardigan,carpenter_pants,boots,relaxed,freezing,party,bomber,0.5
green,red,green,casual,flannel,joggers,sneakers,cropped,hot,party,gilet,0.55
brown,yellow,white,vintage,oxford,joggers,derbies,cropped,hot,party,gilet,0.5
navy,blue,brown,athleisure,sweatshirt,cargos,derbies,regular,cold,business,suit_jacket,0.0
green,navy,gold,formal,cardigan,swim_shorts,derbies,slim,warm,travel,suit_jacket,0.0
green,silver,yellow,formal,overshirt,chinos,running_shoes,skinny,warm,university,puffer,0.0
white,yellow,olive,gorpcore,graphic_tee,swim_shorts,slides,regular,freezing,travel,varsity_jacket,0.0
gold,black,white,casual,polo,jeans,running_shoes,oversized,freezing,club,overcoat,0.65
navy,black,beige,smart_casual,hoodie,trousers,running_shoes,oversized,cold,business,bomber,0.0
burgundy,olive,charcoal,casual,turtleneck,trousers,slides,skinny,freezing,business,parka,0.0
blue,grey,olive,old_money,cardigan,jeans,sneakers,oversized,warm,university,bomber,0.4
burgundy,gold,beige,vintage,overshirt,cargos,slides,regular,freezing,business,bomber,0.0
charcoal,black,green,gorpcore,overshirt,jeans,running_shoes,oversized,mild,party,trench,0.5
silver,black,cream,minimal,flannel,swim_shorts,sneakers,regular,mild,gym,overcoat,0.25
burgundy,beige,yellow,old_money,hoodie,trousers,derbies,oversized,hot,business,varsity_jacket,0.05
yellow,navy,beige,old_money,flannel,pleated_trousers,running_shoes,skinny,mild,party,denim_jacket,0.4
grey,brown,navy,casual,long_sleeve,sweatpants,derbies,regular,cold,travel,trench,0.5
silver,burgundy,olive,gorpcore,long_sleeve,carpenter_pants,slides,relaxed,freezing,gym,blazer,0.35
navy,green,gold,gorpcore,hoodie,chinos,sandals,oversized,cold,party,gilet,0.5
burgundy,white,burgundy,streetwear,overshirt,jeans,slides,oversized,warm,business,bomber,0.0
navy,burgundy,gold,smart_casual,oxford,pleated_trousers,running_shoes,cropped,warm,lounge,varsity_jacket,0.5
charcoal,green,white,streetwear,tee,track_pants,chelsea_boots,skinny,freezing,travel,blazer,0.5
gold,silver,silver,streetwear,turtleneck,track_pants,running_shoes,relaxed,freezing,club,gilet,0.2
green,yellow,green,formal,flannel,track_pants,sandals,relaxed,warm,university,leather_jacket,0.0
burgundy,olive,green,gorpcore,graphic_tee,swim_shorts,boots,regular,warm,club,none,0.5
olive,white,brown,vintage,long_sleeve,pleated_trousers,running_shoes,skinny,hot,university,trench,0.25
olive,navy,olive,streetwear,oxford,track_pants,derbies,cropped,mild,travel,bomber,0.55
green,silver,silver,old_money,graphic_tee,trousers,chunky_sneakers,oversized,cold,travel,gilet,0.25
olive,brown,white,smart_casual,oxford,carpenter_pants,sneakers,skinny,hot,party,parka,0.25
white,navy,burgundy,gorpcore,cardigan,jeans,derbies,relaxed,hot,date,suit_jacket,0.25
olive,brown,red,vintage,long_sleeve,carpenter_pants,chelsea_boots,oversized,hot,university,bomber,0.25
olive,green,grey,vintage,dress_shirt,sweatpants,loafers,cropped,freezing,date,leather_jacket,0.5
white,gold,olive,smart_casual,hoodie,cargos,boots,skinny,freezing,lounge,varsity_jacket,0.5
gold,cream,beige,gorpcore,dress_shirt,swim_shorts,chelsea_boots,cropped,warm,lounge,blazer,0.3
gold,charcoal,brown,old_money,tee,swim_shorts,running_shoes,cropped,mild,travel,gilet,0.5
yellow,cream,cream,athleisure,dress_shirt,carpenter_pants,chunky_sneakers,regular,cold,business,denim_jacket,0.5
blue,cream,blue,minimal,sweatshirt,joggers,sneakers,skinny,hot,travel,none,0.55
charcoal,blue,silver,formal,graphic_tee,chinos,slides,cropped,hot,gym,trench,0.0
brown,silver,brown,smart_casual,turtleneck,cargos,chunky_sneakers,relaxed,mild,club,windbreaker,0.55
brown,grey,gold,old_money,tee,carpenter_pants,sneakers,regular,cold,date,blazer,0.5
green,brown,navy,smart_casual,henley,chinos,boots,oversized,freezing,gym,parka,0.0
burgundy,navy,charcoal,formal,hoodie,trousers,chunky_sneakers,regular,hot,party,varsity_jacket,0.05
cream,gold,black,formal,graphic_tee,jeans,chelsea_boots,relaxed,cold,business,bomber,0.05
gold,blue,green,casual,turtleneck,track_pants,loafers,relaxed,cold,business,overcoat,0.5
navy,gold,yellow,streetwear,long_sleeve,carpenter_pants,boots,cropped,freezing,lounge,windbreaker,0.5
charcoal,cream,black,old_money,graphic_tee,chinos,slides,oversized,mild,party,blazer,0.25
olive,white,blue,smart_casual,sweatshirt,trousers,sandals,regular,freezing,gym,none,0.1
navy,beige,red,old_money,henley,sweatpants,running_shoes,regular,hot,lounge,gilet,0.09999999999999998
blue,charcoal,yellow,minimal,henley,swim_shorts,chunky_sneakers,relaxed,cold,travel,denim_jacket,0.5
gold,red,black,casual,henley,sweatpants,sandals,slim,freezing,party,peacoat,0.5
navy,navy,yellow,formal,sweater,swim_shorts,sneakers,skinny,freezing,business,parka,0.0
white,red,charcoal,vintage,oxford,carpenter_pants,boots,relaxed,cold,gym,denim_jacket,0.0
navy,red,cream,formal,tee,sweatpants,loafers,cropped,cold,travel,gilet,0.0
navy,red,charcoal,old_money,overshirt,sweatpants,slides,oversized,freezing,travel,bomber,0.25
silver,gold,green,casual,dress_shirt,track_pants,chelsea_boots,relaxed,freezing,party,puffer,0.65
blue,brown,cream,old_money,tee,joggers,boots,slim,freezing,party,overcoat,0.55
burgundy,burgundy,red,gorpcore,hoodie,cargos,sneakers,slim,mild,university,gilet,0.6
gold,silver,gold,old_money,overshirt,pleated_trousers,running_shoes,relaxed,freezing,travel,suit_jacket,0.55
white,black,brown,vintage,graphic_tee,track_pants,chelsea_boots,slim,mild,lounge,gilet,0.2
navy,gold,silver,minimal,sweatshirt,carpenter_pants,chunky_sneakers,oversized,cold,date,overcoat,0.5
black,green,brown,streetwear,tee,chinos,slides,oversized,mild,club,suit_jacket,0.5
cream,yellow,green,streetwear,hoodie,track_pants,sandals,skinny,cold,lounge,denim_jacket,0.5
blue,beige,silver,old_money,graphic_tee,sweatpants,derbies,relaxed,cold,party,denim_jacket,0.15
yellow,white,red,streetwear,turtleneck,swim_shorts,sneakers,skinny,warm,party,varsity_jacket,0.5
brown,beige,navy,formal,sweater,track_pants,loafers,relaxed,mild,lounge,varsity_jacket,0.5
blue,black,burgundy,vintage,dress_shirt,joggers,chunky_sneakers,cropped,mild,date,windbreaker,0.5
brown,silver,navy,casual,oxford,shorts,slides,oversized,warm,travel,none,0.5
brown,olive,navy,vintage,flannel,jeans,running_shoes,regular,freezing,club,gilet,0.2
black,burgundy,gold,gorpcore,dress_shirt,cargos,slides,slim,cold,gym,suit_jacket,0.14999999999999997
silver,white,yellow,vintage,henley,jeans,slides,oversized,cold,business,puffer,0.0
black,black,gold,smart_casual,tee,joggers,sneakers,slim,freezing,lounge,bomber,0.5
yellow,gold,yellow,vintage,henley,pleated_trousers,chelsea_boots,slim,cold,university,blazer,0.55
blue,blue,blue,athleisure,graphic_tee,cargos,derbies,cropped,hot,party,gilet,0.55
olive,gold,yellow,old_money,turtleneck,cargos,sneakers,skinny,freezing,lounge,puffer,0.4
green,blue,charcoal,gorpcore,tee,trousers,slides,relaxed,warm,travel,leather_jacket,0.5
silver,cream,grey,formal,henley,cargos,chelsea_boots,oversized,cold,university,denim_jacket,0.0
burgundy,brown,silver,old_money,tee,chinos,chunky_sneakers,slim,hot,lounge,denim_jacket,0.25
olive,blue,blue,smart_casual,flannel,swim_shorts,boots,regular,mild,gym,denim_jacket,0.0
burgundy,black,silver,formal,sweatshirt,sweatpants,boots,regular,cold,club,windbreaker,0.0
navy,blue,yellow,streetwear,overshirt,trousers,derbies,slim,hot,university,windbreaker,0.25
cream,green,navy,vintage,flannel,trousers,chelsea_boots,regular,freezing,university,peacoat,0.5
blue,brown,silver,vintage,hoodie,joggers,derbies,relaxed,mild,lounge,denim_jacket,0.5
gold,silver,blue,streetwear,turtleneck,shorts,boots,relaxed,mild,business,puffer,0.0
navy,burgundy,blue,formal,polo,chinos,slides,oversized,hot,party,peacoat,0.0
white,gold,beige,smart_casual,overshirt,joggers,derbies,cropped,freezing,travel,bomber,0.5
brown,green,yellow,old_money,turtleneck,sweatpants,loafers,slim,freezing,business,blazer,0.0
navy,navy,green,athleisure,oxford,shorts,chunky_sneakers,relaxed,freezing,party,suit_jacket,0.0
olive,olive,charcoal,minimal,oxford,track_pants,sneakers,skinny,hot,university,leather_jacket,0.25
white,olive,burgundy,old_money,hoodie,joggers,chunky_sneakers,slim,hot,date,trench,0.0
charcoal,navy,blue,minimal,turtleneck,jeans,boots,slim,warm,travel,blazer,0.5
navy,green,green,old_money,sweater,jeans,slides,slim,warm,party,gilet,0.5
yellow,green,olive,smart_casual,henley,swim_shorts,chelsea_boots,regular,mild,business,windbreaker,0.0
brown,olive,red,formal,sweatshirt,cargos,sandals,regular,warm,party,suit_jacket,0.0
cream,brown,beige,athleisure,sweater,cargos,running_shoes,cropped,mild,date,leather_jacket,0.5
grey,white,grey,minimal,oxford,pleated_trousers,derbies,cropped,freezing,university,leather_jacket,0.55
white,gold,grey,vintage,sweatshirt,swim_shorts,chelsea_boots,cropped,hot,travel,varsity_jacket,0.25
gold,black,silver,streetwear,sweatshirt,track_pants,sneakers,slim,warm,business,windbreaker,0.5
black,yellow,charcoal,vintage,overshirt,track_pants,sneakers,skinny,freezing,lounge,suit_jacket,0.5
gold,olive,yellow,formal,overshirt,carpenter_pants,chelsea_boots,slim,hot,travel,blazer,0.25
cream,olive,red,old_money,flannel,shorts,loafers,slim,freezing,gym,puffer,0.0
yellow,olive,gold,formal,long_sleeve,carpenter_pants,chunky_sneakers,cropped,cold,travel,gilet,0.5
olive,red,beige,vintage,flannel,track_pants,sneakers,oversized,warm,club,leather_jacket,0.5
charcoal,grey,yellow,gorpcore,cardigan,pleated_trousers,running_shoes,relaxed,hot,lounge,suit_jacket,0.25
blue,burgundy,black,smart_casual,sweatshirt,jeans,chunky_sneakers,skinny,cold,gym,overcoat,0.1
white,gold,charcoal,casual,cardigan,jeans,sneakers,cropped,hot,travel,leather_jacket,0.25
charcoal,brown,charcoal,formal,turtleneck,pleated_trousers,slides,skinny,mild,party,peacoat,0.0
blue,gold,silver,smart_casual,tee,cargos,sandals,relaxed,mild,date,suit_jacket,0.5
charcoal,yellow,white,athleisure,tee,cargos,running_shoes,skinny,cold,business,varsity_jacket,0.0
beige,yellow,brown,gorpcore,polo,shorts,chunky_sneakers,oversized,hot,gym,none,0.25
cream,yellow,navy,casual,flannel,track_pants,chelsea_boots,relaxed,mild,travel,overcoat,0.5
blue,cream,beige,old_money,dress_shirt,sweatpants,sneakers,regular,freezing,club,peacoat,0.15
gold,grey,blue,smart_casual,overshirt,carpenter_pants,chelsea_boots,oversized,cold,business,overcoat,0.5
white,gold,silver,smart_casual,graphic_tee,pleated_trousers,chelsea_boots,slim,warm,date,varsity_jacket,0.5
charcoal,white,silver,gorpcore,flannel,pleated_trousers,chelsea_boots,oversized,mild,gym,leather_jacket,0.0
beige,blue,burgundy,smart_casual,graphic_tee,cargos,chunky_sneakers,regular,freezing,travel,leather_jacket,0.5
silver,grey,cream,old_money,flannel,cargos,derbies,regular,hot,university,trench,0.0
silver,beige,silver,athleisure,dress_shirt,carpenter_pants,chunky_sneakers,regular,cold,lounge,suit_jacket,0.55
gold,charcoal,charcoal,gorpcore,hoodie,pleated_trousers,derbies,skinny,hot,party,parka,0.25
burgundy,olive,black,vintage,turtleneck,trousers,slides,skinny,hot,business,leather_jacket,0.0
cream,white,white,vintage,tee,jeans,sandals,relaxed,cold,travel,blazer,0.5
green,gold,gold,old_money,cardigan,trousers,boots,regular,cold,travel,trench,0.5
silver,olive,cream,streetwear,tee,shorts,derbies,slim,mild,lounge,suit_jacket,0.5
cream,green,burgundy,streetwear,sweater,joggers,loafers,regular,cold,business,none,0.0
blue,charcoal,black,old_money,sweatshirt,shorts,chunky_sneakers,skinny,freezing,business,overcoat,0.0
burgundy,yellow,beige,streetwear,sweatshirt,joggers,sneakers,regular,warm,date,gilet,0.5
yellow,olive,green,casual,graphic_tee,shorts,chelsea_boots,regular,cold,lounge,varsity_jacket,0.5
cream,cream,blue,athleisure,tee,track_pants,derbies,relaxed,hot,club,gilet,0.5
green,gold,navy,formal,turtleneck,cargos,derbies,cropped,freezing,lounge,parka,0.0
cream,gold,blue,streetwear,hoodie,sweatpants,chunky_sneakers,slim,mild,club,peacoat,0.5
white,green,yellow,casual,cardigan,carpenter_pants,chunky_sneakers,skinny,mild,lounge,varsity_jacket,0.5
green,grey,red,vintage,long_sleeve,sweatpants,boots,relaxed,hot,business,trench,0.0
beige,silver,gold,minimal,cardigan,carpenter_pants,sneakers,oversized,hot,business,suit_jacket,0.25
cream,white,gold,minimal,graphic_tee,trousers,slides,regular,freezing,club,none,0.2
charcoal,blue,cream,streetwear,long_sleeve,pleated_trousers,boots,oversized,warm,university,denim_jacket,0.5
silver,yellow,brown,minimal,hoodie,carpenter_pants,derbies,relaxed,hot,university,denim_jacket,0.25
olive,green,olive,minimal,long_sleeve,chinos,sneakers,cropped,freezing,party,puffer,0.7150000000000001
brown,white,beige,smart_casual,long_sleeve,chinos,slides,relaxed,cold,party,peacoat,0.5
grey,black,grey,smart_casual,polo,swim_shorts,chunky_sneakers,regular,hot,lounge,none,0.55
olive,cream,red,gorpcore,turtleneck,shorts,sneakers,relaxed,warm,gym,leather_jacket,0.25
burgundy,silver,olive,old_money,flannel,track_pants,chunky_sneakers,oversized,freezing,travel,peacoat,0.5
blue,white,green,formal,polo,pleated_trousers,sandals,cropped,freezing,gym,denim_jacket,0.0
yellow,navy,silver,smart_casual,turtleneck,joggers,sneakers,skinny,hot,travel,windbreaker,0.25
yellow,red,navy,athleisure,polo,carpenter_pants,chunky_sneakers,regular,warm,university,trench,0.5
navy,cream,silver,athleisure,cardigan,cargos,chelsea_boots,skinny,freezing,gym,varsity_jacket,0.0
burgundy,blue,navy,old_money,flannel,joggers,boots,relaxed,freezing,club,trench,0.5
olive,gold,white,formal,turtleneck,shorts,chelsea_boots,cropped,hot,party,denim_jacket,0.0
white,green,brown,gorpcore,flannel,chinos,loafers,oversized,warm,business,overcoat,0.3
white,navy,charcoal,minimal,turtleneck,swim_shorts,loafers,relaxed,hot,club,none,0.5
burgundy,charcoal,olive,minimal,flannel,carpenter_pants,loafers,relaxed,hot,gym,trench,0.0
beige,olive,red,vintage,graphic_tee,track_pants,loafers,skinny,mild,business,parka,0.05
green,green,red,athleisure,sweatshirt,cargos,sneakers,cropped,warm,gym,peacoat,0.5
olive,beige,brown,formal,dress_shirt,joggers,chelsea_boots,slim,cold,university,windbreaker,0.0
gold,grey,blue,casual,henley,pleated_trousers,sneakers,skinny,hot,business,leather_jacket,0.25
beige,beige,green,old_money,hoodie,joggers,loafers,oversized,hot,business,none,0.0
beige,silver,navy,athleisure,long_sleeve,carpenter_pants,slides,oversized,mild,university,gilet,0.5
navy,blue,black,smart_casual,cardigan,sweatpants,sneakers,cropped,warm,gym,varsity_jacket,0.25
charcoal,black,green,minimal,sweater,chinos,derbies,oversized,cold,business,blazer,0.5
olive,blue,grey,casual,dress_shirt,shorts,loafers,oversized,warm,university,trench,0.5
beige,olive,charcoal,formal,flannel,joggers,chunky_sneakers,relaxed,hot,club,gilet,0.0
gold,red,olive,casual,polo,sweatpants,loafers,cropped,hot,lounge,peacoat,0.1
charcoal,burgundy,beige,smart_casual,graphic_tee,sweatpants,sandals,oversized,freezing,club,denim_jacket,0.5
yellow,yellow,cream,vintage,flannel,chinos,slides,relaxed,mild,gym,trench,0.1
silver,grey,brown,old_money,oxford,jeans,running_shoes,regular,warm,gym,varsity_jacket,0.1
beige,black,olive,formal,flannel,carpenter_pants,chelsea_boots,relaxed,freezing,travel,leather_jacket,0.5
gold,charcoal,yellow,old_money,hoodie,track_pants,chunky_sneakers,oversized,warm,party,varsity_jacket,0.25
black,grey,beige,formal,henley,sweatpants,sandals,skinny,freezing,date,denim_jacket,0.0
red,blue,burgundy,athleisure,turtleneck,pleated_trousers,loafers,oversized,mild,gym,peacoat,0.0
charcoal,blue,gold,old_money,oxford,chinos,sandals,skinny,hot,club,varsity_jacket,0.25
white,navy,brown,vintage,cardigan,cargos,slides,cropped,mild,business,gilet,0.0
navy,beige,gold,streetwear,oxford,trousers,chelsea_boots,oversized,mild,club,none,0.5
black,grey,silver,formal,sweater,carpenter_pants,chelsea_boots,slim,freezing,party,varsity_jacket,0.5
navy,green,silver,gorpcore,flannel,sweatpants,running_shoes,cropped,cold,party,bomber,0.5
blue,grey,burgundy,old_money,sweatshirt,pleated_trousers,boots,relaxed,freezing,university,peacoat,0.4
navy,beige,grey,smart_casual,tee,shorts,derbies,skinny,mild,university,suit_jacket,0.5
blue,navy,red,smart_casual,flannel,trousers,running_shoes,skinny,mild,gym,windbreaker,0.1
olive,white,olive,athleisure,cardigan,joggers,chelsea_boots,oversized,cold,party,puffer,0.55
blue,red,yellow,smart_casual,overshirt,chinos,running_shoes,regular,mild,travel,blazer,0.5
black,burgundy,gold,minimal,turtleneck,track_pants,boots,cropped,cold,business,windbreaker,0.5
green,gold,charcoal,old_money,flannel,carpenter_pants,boots,relaxed,cold,party,bomber,0.5
cream,brown,green,gorpcore,flannel,trousers,boots,cropped,hot,travel,bomber,0.25
beige,silver,brown,vintage,oxford,chinos,boots,skinny,freezing,lounge,none,0.2
blue,black,white,smart_casual,long_sleeve,swim_shorts,derbies,slim,hot,lounge,trench,0.25
gold,olive,yellow,vintage,cardigan,joggers,sandals,regular,freezing,lounge,leather_jacket,0.5
beige,gold,white,athleisure,flannel,shorts,chelsea_boots,skinny,hot,gym,peacoat,0.0
yellow,navy,yellow,vintage,polo,sweatpants,chunky_sneakers,regular,mild,business,peacoat,0.0
beige,beige,red,minimal,overshirt,swim_shorts,boots,slim,mild,travel,peacoat,0.5
olive,green,navy,gorpcore,sweater,pleated_trousers,sneakers,cropped,cold,date,suit_jacket,0.5
brown,navy,beige,smart_casual,turtleneck,trousers,chunky_sneakers,cropped,warm,lounge,windbreaker,0.5
cream,beige,cream,gorpcore,tee,carpenter_pants,sandals,slim,freezing,club,varsity_jacket,0.66
grey,olive,gold,casual,cardigan,jeans,slides,relaxed,mild,travel,blazer,0.5
gold,olive,olive,minimal,oxford,joggers,sneakers,oversized,hot,gym,windbreaker,0.0
green,black,cream,casual,long_sleeve,swim_shorts,chunky_sneakers,skinny,warm,lounge,puffer,0.5
brown,olive,olive,gorpcore,tee,sweatpants,slides,slim,hot,date,blazer,0.1
grey,black,silver,minimal,hoodie,sweatpants,derbies,skinny,hot,lounge,denim_jacket,0.1
burgundy,red,beige,streetwear,flannel,carpenter_pants,boots,relaxed,cold,club,windbreaker,0.5
olive,yellow,white,casual,sweater,jeans,running_shoes,slim,freezing,lounge,none,0.2
brown,brown,gold,minimal,sweatshirt,cargos,chunky_sneakers,relaxed,hot,gym,blazer,0.0
red,brown,burgundy,vintage,tee,carpenter_pants,loafers,cropped,mild,university,none,0.5
olive,burgundy,gold,athleisure,henley,chinos,chelsea_boots,cropped,cold,gym,suit_jacket,0.0
black,charcoal,burgundy,athleisure,henley,chinos,running_shoes,relaxed,cold,date,denim_jacket,0.5
grey,beige,black,formal,flannel,pleated_trousers,chunky_sneakers,regular,warm,date,windbreaker,0.5
green,gold,burgundy,old_money,henley,swim_shorts,slides,regular,mild,party,peacoat,0.5
yellow,silver,olive,smart_casual,dress_shirt,chinos,running_shoes,regular,cold,club,gilet,0.5
silver,cream,brown,formal,overshirt,sweatpants,running_shoes,skinny,warm,lounge,puffer,0.0
grey,gold,red,formal,overshirt,trousers,sneakers,cropped,cold,party,bomber,0.5
cream,white,red,vintage,oxford,carpenter_pants,boots,skinny,cold,club,suit_jacket,0.5
olive,silver,grey,streetwear,flannel,sweatpants,sandals,skinny,freezing,date,bomber,0.5
yellow,charcoal,yellow,formal,long_sleeve,joggers,sandals,skinny,warm,lounge,denim_jacket,0.0
blue,white,burgundy,minimal,sweater,shorts,loafers,cropped,hot,date,windbreaker,0.25
gold,grey,gold,casual,turtleneck,pleated_trousers,slides,cropped,hot,business,varsity_jacket,0.0
olive,cream,yellow,gorpcore,overshirt,swim_shorts,slides,regular,mild,business,puffer,0.0
green,burgundy,white,smart_casual,turtleneck,shorts,sandals,regular,cold,lounge,peacoat,0.5
brown,red,silver,vintage,tee,swim_shorts,boots,relaxed,freezing,club,puffer,0.0
blue,olive,green,formal,cardigan,chinos,slides,regular,warm,party,puffer,0.0
yellow,olive,navy,old_money,cardigan,chinos,derbies,cropped,warm,travel,none,0.4
cream,gold,blue,old_money,graphic_tee,cargos,running_shoes,skinny,freezing,gym,varsity_jacket,0.0
black,brown,charcoal,athleisure,sweatshirt,sweatpants,chunky_sneakers,oversized,warm,travel,puffer,0.5
cream,navy,silver,vintage,henley,pleated_trousers,slides,regular,warm,travel,trench,0.5
grey,yellow,charcoal,vintage,dress_shirt,joggers,sandals,relaxed,mild,lounge,trench,0.5
cream,black,gold,casual,dress_shirt,cargos,derbies,relaxed,hot,date,denim_jacket,0.25
blue,silver,red,vintage,sweater,cargos,boots,relaxed,hot,club,leather_jacket,0.25
beige,cream,olive,old_money,polo,swim_shorts,boots,slim,cold,club,gilet,0.5
beige,brown,blue,old_money,polo,trousers,loafers,cropped,cold,gym,varsity_jacket,0.0
gold,cream,blue,vintage,henley,joggers,sandals,cropped,hot,party,bomber,0.25
navy,charcoal,blue,athleisure,cardigan,sweatpants,sneakers,cropped,hot,business,puffer,0.0
burgundy,brown,green,casual,turtleneck,sweatpants,boots,relaxed,mild,club,trench,0.5
black,white,charcoal,gorpcore,polo,track_pants,chelsea_boots,relaxed,warm,gym,parka,0.0
charcoal,yellow,olive,vintage,graphic_tee,jeans,running_shoes,skinny,warm,gym,overcoat,0.1
red,grey,yellow,casual,sweater,carpenter_pants,chelsea_boots,skinny,mild,date,gilet,0.5
blue,red,silver,streetwear,oxford,chinos,chunky_sneakers,regular,cold,party,blazer,0.5
green,gold,blue,old_money,dress_shirt,jeans,chelsea_boots,relaxed,hot,travel,blazer,0.25
cream,blue,cream,gorpcore,graphic_tee,jeans,slides,cropped,hot,party,leather_jacket,0.275
burgundy,olive,charcoal,casual,cardigan,joggers,chunky_sneakers,skinny,mild,lounge,denim_jacket,0.5
olive,gold,cream,gorpcore,graphic_tee,joggers,slides,oversized,warm,gym,gilet,0.25
brown,olive,gold,athleisure,sweater,trousers,derbies,skinny,warm,university,leather_jacket,0.24999999999999997
yellow,olive,silver,smart_casual,oxford,sweatpants,sneakers,skinny,warm,party,suit_jacket,0.5
green,charcoal,blue,streetwear,henley,swim_shorts,sandals,relaxed,cold,lounge,trench,0.5
white,charcoal,olive,formal,polo,trousers,boots,slim,freezing,gym,leather_jacket,0.0
burgundy,yellow,grey,smart_casual,flannel,track_pants,chelsea_boots,regular,warm,business,denim_jacket,0.5
charcoal,grey,grey,minimal,flannel,shorts,chelsea_boots,oversized,hot,date,overcoat,0.25
black,silver,burgundy,formal,turtleneck,track_pants,loafers,regular,freezing,date,peacoat,0.5
burgundy,navy,grey,vintage,cardigan,sweatpants,boots,regular,hot,date,overcoat,0.1
brown,black,red,formal,dress_shirt,swim_shorts,boots,regular,cold,business,leather_jacket,0.0
olive,grey,beige,athleisure,flannel,swim_shorts,chunky_sneakers,cropped,mild,club,trench,0.5
grey,gold,brown,formal,polo,track_pants,running_shoes,skinny,hot,business,suit_jacket,0.0
burgundy,brown,brown,vintage,flannel,trousers,chunky_sneakers,oversized,cold,date,denim_jacket,0.5
beige,silver,gold,streetwear,oxford,jeans,derbies,skinny,warm,club,parka,0.5
olive,brown,yellow,minimal,hoodie,pleated_trousers,boots,skinny,freezing,business,none,0.05
cream,brown,gold,casual,long_sleeve,pleated_trousers,running_shoes,oversized,warm,date,denim_jacket,0.5
olive,green,gold,smart_casual,polo,jeans,running_shoes,skinny,warm,university,trench,0.5
yellow,gold,silver,old_money,flannel,chinos,loafers,oversized,freezing,university,parka,0.55
grey,burgundy,blue,vintage,tee,track_pants,chelsea_boots,skinny,freezing,club,blazer,0.5
charcoal,charcoal,grey,casual,tee,jeans,running_shoes,regular,cold,travel,varsity_jacket,0.5
grey,gold,silver,smart_casual,turtleneck,carpenter_pants,sneakers,regular,mild,lounge,varsity_jacket,0.5
